date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:57	141161/141161	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202023%2014:12:57%20GMT	https://medperto.com.br/	C:/Users/User/Desktop/tentativa%203/medperto.com.br/index.html	(from )
11:12:58	111/111	---MCZ	200	added ('OK')	text/plain	date:Wed,%2022%20Nov%202023%2014:12:57%20GMT	https://medperto.com.br/robots.txt		(from )
11:12:58	47264/47264	---MCZ	200	added ('OK')	text/css	etag:W/%22b8a0-60ab3c4585dbf%22	https://medperto.com.br/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=4.5.1	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/themes/astra/assets/css/minified/frontend.min8686.css	(from https://medperto.com.br/)
11:12:58	3304/3304	---M--	200	added ('OK')	application/font-woff	etag:%22ce8-60ab3c458c728%22	https://medperto.com.br/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/themes/astra/assets/fonts/astra.woff	(from https://medperto.com.br/)
11:12:58	19533/19533	---MCZ	200	added ('OK')	text/css	etag:W/%224c4d-60ab1d1c5b29c%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://medperto.com.br/)
11:12:59	117332/117332	---MCZ	200	added ('OK')	text/css	etag:W/%221ca54-60ab1d1bacd25%22	https://medperto.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from https://medperto.com.br/)
11:12:59	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%224057-60ab1d1c9bf31%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://medperto.com.br/)
11:12:59	1239/1239	---MCZ	200	added ('OK')	text/css	etag:W/%224d7-60ab6e9ce4c06%22	https://medperto.com.br/wp-content/uploads/elementor/css/post-435.css?ver=1700630583	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/elementor/css/post-43536f8.css	(from https://medperto.com.br/)
11:12:59	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22e7d0-60ab1d1c65695%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min8864.css	(from https://medperto.com.br/)
11:13:00	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22684e-60ab1d1c6c7cc%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min8864.css	(from https://medperto.com.br/)
11:13:00	1866/1866	---MC-	200	added ('OK')	application/rss+xml	etag:%224f8b82b8cb981eadcfad162bc79f31f3%22	https://medperto.com.br/feed/	C:/Users/User/Desktop/tentativa%203/medperto.com.br/feed/index.html	(from https://medperto.com.br/)
11:13:00	19439/19439	---MCZ	200	added ('OK')	text/css	etag:W/%224bef-60ab78f90a74f%22	https://medperto.com.br/wp-content/uploads/elementor/css/post-529.css?ver=1700633364	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/elementor/css/post-5294bd5.css	(from https://medperto.com.br/)
11:13:00	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%22e238-60ab1d1c675d0%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://medperto.com.br/)
11:13:00	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2229d-60ab1d1c69cda%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://medperto.com.br/)
11:13:00	675/675	---MCZ	200	added ('OK')	text/css	etag:W/%222a3-60ab1d1c65e63%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://medperto.com.br/)
11:13:00	1657/1657	---MC-	200	added ('OK')	application/rss+xml	etag:%224f8b82b8cb981eadcfad162bc79f31f3%22	https://medperto.com.br/comments/feed/	C:/Users/User/Desktop/tentativa%203/medperto.com.br/comments/feed/index.html	(from https://medperto.com.br/)
11:13:01	15055/15055	---M--	200	added ('OK')	application/javascript	etag:%223acf-60ab1d1c796b6%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min8864.js	(from https://medperto.com.br/)
11:13:03	283567/283567	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Nov%202023%2014:13:03%20GMT	https://medperto.com.br/wp-json/	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-json/index.html	(from https://medperto.com.br/)
11:13:04	44393/44393	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Nov%202023%2014:13:04%20GMT	https://medperto.com.br/wp-json/wp/v2/pages/529	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-json/wp/v2/pages/529.json	(from https://medperto.com.br/)
11:13:05	804/804	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Nov%202023%2014:13:05%20GMT	https://medperto.com.br/xmlrpc.php?rsd	C:/Users/User/Desktop/tentativa%203/medperto.com.br/xmlrpc0db0.php	(from https://medperto.com.br/)
11:13:06	2021/2021	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Nov%202023%2014:13:06%20GMT	https://medperto.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmedperto.com.br%2F	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-json/oembed/1.0/embedaf5f.json	(from https://medperto.com.br/)
11:13:08	2183/2183	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Nov%202023%2014:13:08%20GMT	https://medperto.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmedperto.com.br%2F&format=xml	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-json/oembed/1.0/embed8b36	(from https://medperto.com.br/)
11:13:08	1716/1716	---M--	200	added ('OK')	image/png	etag:%226b4-60ab82a8b94c1%22	https://medperto.com.br/wp-content/uploads/2023/11/cropped-ljhn-e1700635941703-32x32.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/cropped-ljhn-e1700635941703-32x32.png	(from https://medperto.com.br/)
11:13:08	27731/27731	---M--	200	added ('OK')	image/png	etag:%226c53-60ab82a892fd1%22	https://medperto.com.br/wp-content/uploads/2023/11/cropped-ljhn-e1700635941703-192x192.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/cropped-ljhn-e1700635941703-192x192.png	(from https://medperto.com.br/)
11:13:08	24916/24916	---M--	200	added ('OK')	image/png	etag:%226154-60ab82a8b1bbb%22	https://medperto.com.br/wp-content/uploads/2023/11/cropped-ljhn-e1700635941703-180x180.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/cropped-ljhn-e1700635941703-180x180.png	(from https://medperto.com.br/)
11:13:09	3721/3721	---M--	200	added ('OK')	image/png	etag:%22e89-60ab87020b997%22	https://medperto.com.br/wp-content/uploads/2023/11/Logo-Vetorizada-branca-2-e1700617564187-183x45.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/Logo-Vetorizada-branca-2-e1700617564187-183x45.png	(from https://medperto.com.br/)
11:13:09	820362/820362	---M--	200	added ('OK')	image/png	etag:%22c848a-60ab5e294387b%22	https://medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-5-1.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-5-1.png	(from https://medperto.com.br/)
11:13:09	884447/884447	---M--	200	added ('OK')	image/png	etag:%22d7edf-60ab5eb1d911d%22	https://medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-6.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-6.png	(from https://medperto.com.br/)
11:13:09	952549/952549	---M--	200	added ('OK')	image/png	etag:%22e88e5-60ab5ffa05605%22	https://medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-7.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-7.png	(from https://medperto.com.br/)
11:13:09	888638/888638	---M--	200	added ('OK')	image/png	etag:%22d8f3e-60ab7672f896a%22	https://medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-13-1024x822.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-13-1024x822.png	(from https://medperto.com.br/)
11:13:10	2899/2899	---M--	200	added ('OK')	image/png	etag:%22b53-60ab74cf3ded1%22	https://medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-12-150x150.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-12-150x150.png	(from https://medperto.com.br/)
11:13:10	34375/34375	---M--	200	added ('OK')	image/png	etag:%228647-60ab7536827d4%22	https://medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-11-150x150.png	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/uploads/2023/11/A-MedPerto-e-uma-startup-que-busca-mudar-a-maneira-de-conectar-as-pessoas.-11-150x150.png	(from https://medperto.com.br/)
11:13:10	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%224824-60ab1d1c554ea%22	https://medperto.com.br/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/lib/animations/animations.min8864.css	(from https://medperto.com.br/)
11:13:10	21181/21181	---M--	200	added ('OK')	application/javascript	etag:%2252bd-60ab3c4590986%22	https://medperto.com.br/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.5.1	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/themes/astra/assets/js/minified/frontend.min8686.js	(from https://medperto.com.br/)
11:13:11	4997/4997	---M--	200	added ('OK')	application/javascript	etag:%221385-60ab1d1c52611%22	https://medperto.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min8864.js	(from https://medperto.com.br/)
11:13:12	60151/60151	---M--	200	added ('OK')	application/javascript	etag:%22eaf7-60ab1d1c205bf%22	https://medperto.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.17.3	C:/Users/User/Desktop/tentativa%203/medperto.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min8864.js	(from https://medperto.com.br/)
